Account Number,Reporting Period,Credit Limit,Outstanding Balance,Interest Rate,Minimum Payment Due,Payment Status,Delinquency Status,Credit Score,Utilization Ratio,Charge-Off Status
304338,2025-02,12856,31272,13.89,85,Partial Payment,Current,803,29.24,No
304339,2025-02,47030,23081,21.64,96,Paid in Full,Current,620,13.18,No
304340,2025-02,31167,736,23.62,838,Paid in Full,Current,841,89.93,No
304341,2025-02,49543,31191,13.75,278,Paid in Full,Current,692,5.08,No
304342,2025-02,9306,11888,10.47,987,Paid in Full,Current,624,54.35,No
304343,2025-02,33434,2491,23.13,698,Partial Payment,Current,596,79.55,No
304344,2025-02,44161,31966,20.17,314,Missed Payment,30 Days,761,16.14,No
304345,2025-02,48245,9598,10.16,569,Paid in Full,Current,787,74.85,No
304346,2025-02,48379,22979,18.08,600,Paid in Full,Current,555,23.26,Yes
304347,2025-02,45181,26887,21.77,401,Paid in Full,Current,824,6.91,No
304348,2025-02,31858,11239,24.74,947,Partial Payment,Current,686,57.87,No
304349,2025-02,18698,12667,21.16,628,Partial Payment,Current,559,28.02,No
304350,2025-02,1682,24745,17.78,297,Paid in Full,Current,725,26.66,No
304351,2025-02,16791,21977,22.42,70,Paid in Full,Current,828,34.63,No
304352,2025-02,29699,44394,11.5,540,Paid in Full,60 Days,811,22.41,No
304353,2025-02,16057,42597,12.66,920,Missed Payment,Current,732,58.37,No
304354,2025-02,27364,28655,11.53,82,Paid in Full,Current,804,65.77,No
304355,2025-02,14179,3976,11.33,333,Partial Payment,Current,730,64.22,No
304356,2025-02,47694,7063,13.64,625,Paid in Full,Current,734,10.73,No
304357,2025-02,29061,28724,17.39,877,Partial Payment,Current,670,44.54,No
304358,2025-02,32669,42187,14.6,498,Partial Payment,Current,595,84.93,No
304359,2025-02,22900,28427,22.57,394,Paid in Full,Current,811,7.23,No
304360,2025-02,47602,4904,22.34,627,Paid in Full,Current,583,35.54,No
304361,2025-02,11566,38868,10.93,67,Partial Payment,Current,836,5.13,No
304362,2025-02,22788,6986,15.54,842,Partial Payment,30 Days,564,60.54,Yes
304363,2025-02,40100,41962,21.65,595,Paid in Full,Current,814,80.15,No
304364,2025-02,30456,22496,18.74,484,Partial Payment,Current,563,41.23,No
304365,2025-02,4986,24325,10.34,95,Missed Payment,Current,683,74.6,No
304366,2025-02,32292,37654,13.8,838,Paid in Full,Current,711,86.58,No
304367,2025-02,19318,6788,12.3,808,Paid in Full,Current,541,21.9,No
304368,2025-02,2036,42498,11.6,251,Paid in Full,Current,715,75.33,No
304369,2025-02,41854,41565,24.24,441,Paid in Full,Current,601,35.21,No
304370,2025-02,14672,8565,11.78,558,Paid in Full,Current,538,46.88,No
304371,2025-02,41483,43347,19.68,894,Paid in Full,Current,687,23.67,No
304372,2025-02,38617,15975,23.04,124,Paid in Full,Current,767,63.61,No
304373,2025-02,26708,15818,22.52,207,Paid in Full,90+ Days,821,11.93,No
304374,2025-02,29220,34046,11.54,962,Paid in Full,Current,787,9.35,No
304375,2025-02,27835,4707,22.9,327,Paid in Full,Current,796,66.36,No
304376,2025-02,33377,25502,24.7,772,Partial Payment,Current,598,94.33,No
304377,2025-02,6453,30307,10.05,779,Partial Payment,Current,702,67.43,No
304378,2025-02,36577,40241,21.4,594,Paid in Full,Current,708,17.36,No
304379,2025-02,48656,9459,12.11,599,Partial Payment,Current,721,33.08,No
304380,2025-02,1144,36148,15.23,897,Partial Payment,Current,715,32.27,No
304381,2025-02,47813,30733,19.02,889,Paid in Full,Current,704,72.69,No
304382,2025-02,47356,36831,21.46,176,Paid in Full,Current,550,50.52,No
304383,2025-02,5242,14631,15.45,995,Paid in Full,Current,667,8.65,No
304384,2025-02,46802,35430,11.59,544,Paid in Full,Current,629,34.48,No
304385,2025-02,3024,33482,23.3,398,Paid in Full,Current,711,17.98,No
304386,2025-02,32625,21898,24.14,670,Paid in Full,Current,507,91.34,No
304387,2025-02,6808,26544,20.41,73,Paid in Full,30 Days,553,89.4,No
304388,2025-02,46699,43956,22.85,672,Paid in Full,Current,849,86.3,No
304389,2025-02,1669,32780,16.86,186,Paid in Full,Current,705,36.38,No
304390,2025-02,47334,36776,16.96,791,Paid in Full,Current,511,49.49,No
304391,2025-02,34962,34716,17.56,190,Missed Payment,Current,825,25.53,No
304392,2025-02,27786,12390,12.29,910,Partial Payment,90+ Days,766,20.25,No
304393,2025-02,28065,10870,10.02,921,Paid in Full,Current,668,15.92,No
304394,2025-02,28036,27043,18.49,83,Paid in Full,Current,516,65.24,No
304395,2025-02,27959,41229,15.48,877,Paid in Full,Current,739,10.61,No
304396,2025-02,5706,30252,20.39,109,Missed Payment,Current,721,6.88,No
304397,2025-02,22408,27517,16.33,791,Paid in Full,Current,581,29.18,No
304398,2025-02,15457,39485,19.53,870,Paid in Full,Current,558,63.84,No
304399,2025-02,13898,7873,12.16,217,Partial Payment,Current,576,8.15,No
304400,2025-02,25526,34271,21.67,595,Paid in Full,Current,617,23.06,No
304401,2025-02,46331,33791,18.98,610,Paid in Full,Current,562,65.41,No
304402,2025-02,19725,11068,13.89,211,Paid in Full,Current,710,41.06,No
304403,2025-02,27933,802,15.39,494,Paid in Full,90+ Days,783,18.66,No
304404,2025-02,40689,35313,16.49,397,Paid in Full,Current,834,34.18,No
304405,2025-02,26964,15261,15.61,973,Paid in Full,Current,712,59.19,No
304406,2025-02,43813,32968,16.47,630,Partial Payment,Current,585,80.69,No
304407,2025-02,40842,16107,19.16,230,Paid in Full,Current,502,12.5,No
304408,2025-02,29366,24519,15.54,215,Paid in Full,Current,606,38.96,No
304409,2025-02,46925,22522,20.63,90,Paid in Full,Current,506,15.08,No
304410,2025-02,32270,16083,12.24,716,Paid in Full,Current,830,74.8,No
304411,2025-02,44013,6561,20.85,918,Paid in Full,Current,660,68.43,No
304412,2025-02,36421,28645,24.23,882,Paid in Full,Current,597,32.16,No
304413,2025-02,28568,24284,21.23,898,Paid in Full,Current,746,39.91,No
304414,2025-02,34523,15347,21.47,373,Missed Payment,Current,663,76.78,No
304415,2025-02,19901,41773,21.39,998,Paid in Full,Current,556,27.01,No
304416,2025-02,6287,4449,21.81,133,Paid in Full,Current,746,76.63,No
304417,2025-02,21699,2861,13.42,302,Paid in Full,Current,599,90.1,No
304418,2025-02,6580,2823,13.35,671,Paid in Full,Current,706,43.96,No
304419,2025-02,4721,9215,18.55,395,Paid in Full,Current,612,77.7,No
304420,2025-02,9212,38176,16.21,860,Paid in Full,Current,570,67.93,No
304421,2025-02,34020,23390,23.01,322,Paid in Full,Current,602,60.41,No
304422,2025-02,44909,4382,23.96,732,Paid in Full,30 Days,805,61.55,No
304423,2025-02,49533,18991,24.53,986,Paid in Full,Current,597,90.14,No
304424,2025-02,16777,17814,24.37,538,Paid in Full,Current,577,35.57,No
304425,2025-02,25151,40342,11.88,351,Paid in Full,Current,741,54.31,Yes
304426,2025-02,44207,6973,24.33,560,Paid in Full,Current,594,54.98,No
304427,2025-02,33023,27542,17.63,362,Partial Payment,Current,694,59.35,No
304428,2025-02,2089,43032,20.51,821,Paid in Full,Current,643,38.13,No
304429,2025-02,28921,14749,10.24,906,Partial Payment,Current,813,8.46,No
304430,2025-02,47682,15930,19.57,561,Paid in Full,Current,577,92.65,No
304431,2025-02,30277,12291,14.36,529,Paid in Full,Current,816,8.07,No
304432,2025-02,43560,34814,12.47,612,Paid in Full,Current,673,46.21,No
304433,2025-02,6342,8255,10.91,830,Paid in Full,Current,753,25.63,No
304434,2025-02,28218,31433,16.45,733,Paid in Full,Current,764,25.18,No
304435,2025-02,10994,38155,19.4,760,Paid in Full,Current,551,86.41,No
304436,2025-02,11876,565,24.43,518,Paid in Full,Current,571,71.51,No
304437,2025-02,7543,28714,22.31,697,Partial Payment,Current,549,66.05,No
304438,2025-02,22066,4313,18.84,650,Paid in Full,Current,749,88.4,No
304439,2025-02,17031,43795,11.85,592,Paid in Full,Current,597,23.27,No
304440,2025-02,40321,2154,17.61,443,Paid in Full,Current,734,77.58,No
304441,2025-02,38251,39660,12.47,627,Paid in Full,Current,836,60.92,No
304442,2025-02,32704,14517,21.43,352,Paid in Full,Current,608,34.67,No
304443,2025-02,30870,518,22.51,528,Paid in Full,Current,638,82.45,No
304444,2025-02,16258,37378,11.38,594,Paid in Full,Current,549,89.36,No
304445,2025-02,46782,27298,11.62,278,Paid in Full,Current,705,12.3,No
304446,2025-02,16728,21654,13.8,177,Missed Payment,Current,515,79.72,No
304447,2025-02,22184,13668,22.87,415,Paid in Full,60 Days,836,19.42,No
304448,2025-02,27792,34639,24.89,328,Paid in Full,Current,724,91.11,No
304449,2025-02,16730,8644,20.51,478,Missed Payment,Current,592,76.91,No
304450,2025-02,2739,27690,22.5,992,Paid in Full,Current,760,69.16,No
304451,2025-02,17176,5373,10.22,731,Paid in Full,Current,698,40.39,No
304452,2025-02,5461,26902,23.79,909,Paid in Full,Current,521,81.24,No
304453,2025-02,9593,18859,21.16,975,Paid in Full,30 Days,685,10.31,No
304454,2025-02,49303,16887,12.69,940,Paid in Full,30 Days,580,54.74,No
304455,2025-02,3750,3201,19.82,630,Paid in Full,Current,524,79.42,No
304456,2025-02,30523,1416,19.6,641,Partial Payment,Current,556,62.14,No
304457,2025-02,17206,9909,21.6,513,Partial Payment,Current,772,56.13,No
304458,2025-02,20650,2734,16.51,139,Paid in Full,Current,719,94.61,No
304459,2025-02,39839,25954,22.49,589,Missed Payment,Current,770,24.57,No
304460,2025-02,34276,18725,18.64,933,Missed Payment,Current,558,9.34,No
304461,2025-02,29857,25207,22.4,143,Paid in Full,Current,833,88.71,No
304462,2025-02,41385,43404,12.22,295,Paid in Full,Current,843,27.3,No
304463,2025-02,8456,21127,15.36,931,Paid in Full,Current,542,43.63,No
304464,2025-02,12062,18946,22.98,655,Partial Payment,Current,545,28.89,No
304465,2025-02,5292,25177,20.31,153,Paid in Full,Current,592,94.33,No
304466,2025-02,30897,44032,24.29,758,Paid in Full,Current,820,73.16,No
304467,2025-02,20985,8611,18.27,382,Paid in Full,Current,818,52.35,No
304468,2025-02,33076,7696,22.89,769,Partial Payment,Current,833,17.75,No
304469,2025-02,26914,18273,10.1,294,Paid in Full,Current,563,60.24,No
304470,2025-02,19625,1441,18.13,80,Paid in Full,Current,577,44.31,No
304471,2025-02,31420,27305,23.87,396,Paid in Full,Current,676,29.81,No
304472,2025-02,46240,35253,11.64,703,Paid in Full,Current,549,74.95,Yes
304473,2025-02,33403,38879,10.87,627,Paid in Full,Current,678,16.75,No
304474,2025-02,11746,28140,15.81,876,Paid in Full,Current,621,46.58,No
304475,2025-02,49944,33114,15.9,418,Paid in Full,Current,824,33.67,No
304476,2025-02,37442,12172,14.19,704,Paid in Full,Current,699,88.31,Yes
304477,2025-02,7332,36817,17.19,101,Partial Payment,90+ Days,751,53.3,No
304478,2025-02,31457,23605,13.15,317,Paid in Full,Current,506,37.79,No
304479,2025-02,10932,40670,14.25,923,Paid in Full,Current,628,25.87,No
304480,2025-02,15697,11708,11.98,709,Paid in Full,Current,606,36.45,No
304481,2025-02,11135,35223,23.28,555,Paid in Full,Current,607,24.25,No
304482,2025-02,3915,15626,18.33,498,Paid in Full,Current,709,80.5,No
304483,2025-02,26012,42613,11.78,556,Partial Payment,Current,592,24.49,No
304484,2025-02,23965,29835,16.28,789,Paid in Full,30 Days,580,50.51,No
304485,2025-02,23977,17306,19.12,150,Missed Payment,Current,542,80.55,No
304486,2025-02,2379,40105,16.25,193,Paid in Full,Current,793,45.19,No
304487,2025-02,34222,19522,19.9,211,Partial Payment,Current,526,71.19,No
304488,2025-02,1709,37373,23.29,92,Paid in Full,Current,697,25.78,No
304489,2025-02,36988,37040,21.67,891,Paid in Full,Current,512,88.69,No
304490,2025-02,38654,13853,20.55,676,Paid in Full,Current,820,10.55,No
304491,2025-02,16278,36906,17.11,298,Paid in Full,Current,778,80.69,No
304492,2025-02,36167,37418,19.94,536,Paid in Full,Current,726,62.5,No
304493,2025-02,21639,23831,14.68,72,Paid in Full,Current,758,31.35,No
304494,2025-02,40260,26731,11.04,484,Paid in Full,60 Days,536,6.59,Yes
304495,2025-02,27395,21802,23.17,105,Partial Payment,Current,577,56.23,No
304496,2025-02,5268,38483,19.23,174,Paid in Full,Current,568,80.98,No
304497,2025-02,32225,24676,24.61,142,Paid in Full,Current,634,93.42,No
304498,2025-02,40162,21469,17.31,883,Paid in Full,Current,699,19.5,No
304499,2025-02,33161,43004,23.61,268,Paid in Full,Current,837,51.4,No
304500,2025-02,20784,38321,21.4,951,Paid in Full,Current,583,27.45,No
304501,2025-02,34900,27282,23.11,315,Paid in Full,Current,667,52.67,No
304502,2025-02,13824,5346,21.81,419,Paid in Full,Current,511,60.43,No
304503,2025-02,4400,2780,20.6,684,Paid in Full,Current,816,7.61,No
304504,2025-02,8370,20103,20.7,218,Partial Payment,Current,518,25.86,No
304505,2025-02,47074,36385,23.35,86,Missed Payment,Current,648,90.05,No
304506,2025-02,4940,24568,10.46,611,Paid in Full,Current,560,32.39,No
304507,2025-02,38313,531,11.21,665,Paid in Full,Current,768,78.12,No
304508,2025-02,40515,12811,10.81,706,Paid in Full,Current,779,87.05,No
304509,2025-02,40287,39297,19.52,367,Missed Payment,60 Days,610,51.25,No
304510,2025-02,44593,38056,22.0,756,Partial Payment,Current,631,82.24,No
304511,2025-02,34216,21924,24.01,400,Paid in Full,Current,607,67.18,No
304512,2025-02,37152,18433,13.58,794,Paid in Full,Current,671,33.16,No
304513,2025-02,43215,39033,16.17,375,Paid in Full,Current,518,25.15,No
304514,2025-02,10321,12608,15.48,862,Paid in Full,Current,796,5.86,No
304515,2025-02,46760,10487,24.79,751,Paid in Full,Current,570,17.46,No
304516,2025-02,21380,15683,21.47,918,Paid in Full,Current,559,67.37,No
304517,2025-02,41332,17308,14.15,86,Paid in Full,Current,797,67.51,No
304518,2025-02,34815,40463,20.87,683,Missed Payment,60 Days,817,19.42,No
304519,2025-02,18497,33643,10.32,637,Paid in Full,Current,714,67.53,No
304520,2025-02,18631,21619,14.22,96,Partial Payment,Current,755,13.32,No
304521,2025-02,25391,11447,16.62,839,Partial Payment,Current,716,89.86,No
304522,2025-02,47664,31257,23.97,710,Partial Payment,Current,510,55.04,No
304523,2025-02,29102,32529,20.53,474,Paid in Full,Current,547,43.89,No
304524,2025-02,14113,6812,22.05,568,Paid in Full,Current,768,22.6,No
304525,2025-02,39179,33712,15.44,914,Partial Payment,Current,564,21.51,No
304526,2025-02,44050,15451,12.69,395,Paid in Full,Current,765,66.46,No
304527,2025-02,17086,23873,20.19,217,Paid in Full,Current,794,33.49,No
304528,2025-02,19550,4156,13.56,565,Paid in Full,30 Days,784,71.95,No
304529,2025-02,9548,24641,22.07,394,Paid in Full,Current,749,75.09,No
304530,2025-02,23110,15395,17.05,242,Paid in Full,Current,814,82.04,No
304531,2025-02,33712,27174,19.33,825,Paid in Full,30 Days,601,67.13,No
304532,2025-02,25503,16509,17.21,105,Paid in Full,Current,709,79.91,No
304533,2025-02,12347,39407,22.49,678,Missed Payment,Current,770,13.77,No
304534,2025-02,5575,36733,12.91,228,Paid in Full,Current,737,13.07,No
304535,2025-02,34084,30864,22.27,776,Paid in Full,Current,573,18.93,No
304536,2025-02,12764,30565,14.43,71,Paid in Full,Current,527,65.66,No
304537,2025-02,9502,36676,12.12,791,Paid in Full,30 Days,785,14.26,No
304538,2025-02,1771,35301,19.72,367,Partial Payment,Current,671,73.49,No
304539,2025-02,7099,33969,21.12,895,Partial Payment,Current,759,77.58,No
304540,2025-02,34401,38162,12.94,363,Paid in Full,60 Days,534,51.64,No
304541,2025-02,1923,31742,19.12,617,Partial Payment,Current,766,83.73,Yes
304542,2025-02,41772,16079,21.55,165,Paid in Full,Current,604,10.22,No
304543,2025-02,48934,25049,17.98,937,Paid in Full,Current,677,27.19,No
304544,2025-02,38470,2596,13.92,676,Partial Payment,Current,711,47.85,No
304545,2025-02,24148,20023,19.06,802,Paid in Full,Current,784,71.17,No
304546,2025-02,14603,42395,23.42,514,Missed Payment,Current,796,33.38,No
304547,2025-02,1984,1441,14.49,755,Partial Payment,Current,659,65.99,No
304548,2025-02,6803,4780,15.34,744,Partial Payment,Current,834,89.9,No
304549,2025-02,25970,27956,14.12,194,Paid in Full,Current,756,53.45,No
304550,2025-02,31741,15887,11.29,752,Paid in Full,Current,620,35.59,No
304551,2025-02,3316,40125,22.83,124,Paid in Full,Current,678,45.82,No
304552,2025-02,5814,17283,22.43,232,Paid in Full,Current,504,33.83,No
304553,2025-02,14894,24206,12.09,817,Partial Payment,Current,501,71.21,No
304554,2025-02,44891,33495,13.41,94,Missed Payment,Current,554,85.51,No
304555,2025-02,45129,20209,18.17,785,Missed Payment,Current,613,55.39,No
304556,2025-02,47508,23390,18.11,381,Paid in Full,Current,776,67.47,No
304557,2025-02,3638,36537,18.15,220,Paid in Full,Current,692,71.15,No
304558,2025-02,20600,10400,20.18,482,Missed Payment,Current,552,39.57,No
304559,2025-02,24363,20683,15.7,247,Partial Payment,Current,599,31.88,No
304560,2025-02,46009,25721,10.45,260,Paid in Full,Current,651,77.23,No
304561,2025-02,34440,38571,14.61,785,Paid in Full,Current,807,37.45,No
304562,2025-02,28819,26787,24.21,504,Paid in Full,Current,673,83.68,No
304563,2025-02,41278,6244,23.22,963,Missed Payment,Current,543,46.25,No
304564,2025-02,34154,31501,13.85,206,Paid in Full,Current,649,94.07,No
304565,2025-02,16273,595,22.73,646,Paid in Full,Current,660,14.68,No
304566,2025-02,13516,17678,13.79,311,Paid in Full,Current,570,7.2,No
304567,2025-02,18621,11529,18.91,188,Partial Payment,Current,832,36.62,No
304568,2025-02,24169,7048,20.2,352,Paid in Full,Current,795,33.75,No
304569,2025-02,8054,23438,12.91,287,Paid in Full,Current,781,59.22,No
304570,2025-02,31630,26835,13.69,522,Paid in Full,Current,835,92.64,No
304571,2025-02,38958,26036,20.73,985,Paid in Full,Current,609,57.43,No
304572,2025-02,39752,32357,17.55,877,Paid in Full,Current,566,22.42,No
304573,2025-02,29789,25022,19.21,839,Paid in Full,Current,767,31.58,No
304574,2025-02,43607,16263,23.63,489,Paid in Full,Current,747,91.76,No
304575,2025-02,42653,10391,24.78,281,Paid in Full,Current,644,6.58,No
304576,2025-02,7050,14582,22.32,381,Paid in Full,Current,608,88.78,No
304577,2025-02,49796,16583,24.33,948,Paid in Full,Current,598,59.52,No
304578,2025-02,24084,506,19.45,161,Paid in Full,Current,802,62.59,No
304579,2025-02,43249,13970,14.67,562,Paid in Full,Current,701,28.84,No
304580,2025-02,11741,8631,19.6,479,Missed Payment,60 Days,723,89.14,No
304581,2025-02,19653,19445,13.54,306,Missed Payment,Current,820,64.64,No
304582,2025-02,30565,2136,16.45,194,Paid in Full,Current,774,9.21,No
304583,2025-02,25891,39904,18.55,960,Paid in Full,Current,586,56.09,No
304584,2025-02,26980,31736,10.49,328,Paid in Full,Current,834,41.95,No
304585,2025-02,20370,17937,21.81,304,Partial Payment,Current,557,63.38,No
304586,2025-02,44307,13695,16.81,761,Paid in Full,Current,814,6.79,No
304587,2025-02,28619,29301,17.55,825,Paid in Full,Current,692,79.67,No
304588,2025-02,39628,35937,17.28,577,Paid in Full,Current,642,35.11,No
304589,2025-02,21968,25727,17.71,775,Paid in Full,Current,766,22.22,No
304590,2025-02,36192,40757,22.31,690,Paid in Full,Current,555,65.13,No
304591,2025-02,25345,19808,14.51,546,Partial Payment,Current,732,27.35,No
304592,2025-02,34987,9944,10.99,721,Paid in Full,Current,631,88.29,No
304593,2025-02,41428,6289,17.79,286,Paid in Full,Current,611,47.09,No
304594,2025-02,26465,41873,20.47,787,Paid in Full,Current,688,44.02,No
304595,2025-02,34967,32062,23.32,335,Paid in Full,Current,778,79.76,No
304596,2025-02,34587,21185,10.65,567,Paid in Full,Current,503,27.31,No
304597,2025-02,39139,929,23.6,934,Paid in Full,Current,728,93.21,No
304598,2025-02,22736,3972,11.72,760,Paid in Full,Current,515,36.18,No
304599,2025-02,2363,27188,21.36,269,Paid in Full,Current,733,35.91,No
304600,2025-02,16637,8145,13.32,89,Paid in Full,Current,688,17.08,No
304601,2025-02,19431,44488,12.75,895,Paid in Full,Current,757,21.46,No
304602,2025-02,36743,35395,17.08,413,Paid in Full,Current,590,40.7,No
304603,2025-02,21369,44733,19.77,490,Paid in Full,Current,524,72.89,Yes
304604,2025-02,5474,25692,15.31,686,Paid in Full,Current,818,63.13,No
304605,2025-02,41489,1466,14.58,678,Paid in Full,Current,605,38.33,No
304606,2025-02,24534,43189,13.33,814,Paid in Full,Current,656,17.15,No
304607,2025-02,38164,9733,11.76,975,Paid in Full,Current,686,49.66,No
304608,2025-02,32565,29011,20.61,149,Paid in Full,Current,761,58.27,No
